Floor,Building,Location index,x,y,z (floor),z (device_height)
4,C,a,32,0,10.8,11.8
4,C,b,30,0,10.8,11.8
4,C,c,28,0,10.8,11.8
4,C,d,26,0,10.8,11.8
4,C,e,24,0,10.8,11.8
4,C,f,22,0,10.8,11.8
4,C,g,20,0,10.8,11.8
4,C,h,18,0,10.8,11.8
4,C,i,16,0,10.8,11.8
4,C,j,14,0,10.8,11.8
4,C,k,12,0,10.8,11.8
4,C,l,10,0,10.8,11.8
4,C,m,8,0,10.8,11.8
4,C,n,6,0,10.8,11.8
4,C,o,4,0,10.8,11.8
4,C,p,2,0,10.8,11.8
4,C,q,0,0,10.8,11.8
4,C2,r,0,2,10.8,11.8
4,C2,s,0,4,10.8,11.8
4,C2,t,0,6,10.8,11.8
4,C2,u,0,8,10.8,11.8
4,C2,v,0,10,10.8,11.8
4,C2,w,0,12,10.8,11.8
4,C2,x,0,14,10.8,11.8
4,C2,y,0,16,10.8,11.8
4,C2,z,0,18,10.8,11.8
4,C2,aa,0,20,10.8,11.8
4,C2,ab,0,22,10.8,11.8
4,C2,ac,0,24,10.8,11.8
4,C2,ad,0,26,10.8,11.8
4,C2,ae,0,28,10.8,11.8
4,C2,af,0,30,10.8,11.8
4,C2,ag,0,32,10.8,11.8
4,C2,ah,0,34,10.8,11.8
4,C2,ai,0,36,10.8,11.8
4,C2,aj,0,38,10.8,11.8
4,C2,ak,0,40,10.8,11.8
4,C2,al,0,42,10.8,11.8
4,C2,am,0,44,10.8,11.8
4,C2,an,0,46,10.8,11.8
4,C2,ao,0,48,10.8,11.8
4,C2,ap,0,50,10.8,11.8
4,C2,aq,0,52,10.8,11.8
4,C2,ar,0,54,10.8,11.8
4,C2,as,0,56,10.8,11.8
4,C3,at,2,56,10.8,11.8
4,C3,au,4,56,10.8,11.8
4,C3,av,6,56,10.8,11.8
4,C3,aw,8,56,10.8,11.8
4,C3,ax,10,56,10.8,11.8
4,C3,ay,12,56,10.8,11.8
4,C3,az,14,56,10.8,11.8
4,C3,ba,16,56,10.8,11.8
4,C3,bb,18,56,10.8,11.8
4,C3,bc,20,56,10.8,11.8
4,C3,bd,22,56,10.8,11.8
4,C3,be,24,56,10.8,11.8
4,C3,bf,26,56,10.8,11.8
4,C3,bg,28,56,10.8,11.8
